node_id,node_name,category,evidence_label,case_title,evidence_statement,object_definition,evidence_location
c209M01N13,cadaver dissection,Traditional Human-central Practice,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Traditional clinical teaching typically relied on cadaver dissection or 2D imaging.,An anatomy-teaching method based on studying human cadavers.,"PDF p. 2, Introduction"
c209M01N14,2D imaging,Traditional Human-central Practice,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Traditional clinical teaching typically relied on cadaver dissection or 2D imaging.,Teaching through flat medical-image representations.,"PDF p. 2, Introduction"
c209M01N15,anatomical atlases,Traditional Human-central Practice,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,The paper states that 2D images and anatomical atlases lack three-dimensionality.,Teaching or self-study through codified anatomical illustrations.,"PDF p. 2, Introduction"
c209M02N27,2D imaging learning method,Traditional Human-central Practice,E,From Virtual To Reality: Application Of A Novel 3D Printing Hollow Model For Early-Stage Lung Cancer In The Clinical Teaching Of Thoracoscopic Sublobar Resection,Traditional clinical teaching has typically relied on... 2D imaging,Learning method using two‑dimensional medical images (CT/MRI) from which students must mentally reconstruct three‑dimensional anatomy.,"Page 2, Introduction"
c210M01N14,Traditional didactic methods relying on print materials,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,The paper contrasts mobile learning with traditional didactic methods relying on print materials.,Conventional educational delivery using printed learning material.,PDF p. 2; Introduction
c210M01N15,Telephonic communication,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Telephonic communication is identified as part of traditional didactic delivery.,Conventional person-to-person content delivery by telephone.,PDF p. 2; Introduction
c210M01N16,Professional workshops,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Only 4.69 percent of intervention-group nurses had participated in PIVC-related workshops.,Offline professional education concerning PIVC placement.,PDF pp. 5 and 7; Table 2 and Discussion
c210M01N18,Real-time on-site PIVC placement observation,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Researchers observed and assessed nurses’ practical skills during real-time on-site PIVC placement operations.,Human observation and checklist scoring of actual PIVC placement performance.,PDF p. 3; Assessment methods
c210M02N22,Print materials and telephone didactic sessions,Traditional Human-central Practice,E,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Traditional didactic methods relying on print materials and telephonic communication,"Conventional educational approaches using printed educational resources and telephone-based communication, described as less cost-effective than mobile learning.",Page 2
c210M02N24,Spontaneous clinical experience accrual,Traditional Human-central Practice,I,Impact Of A Wechat-Based Intervention On Nurses Knowledge And Practice In Peripheral Venous Catheter Insertion,Control group minor practice score fluctuation may reflect spontaneous clinical experience accumulation,Not mentioned,Page 6
c211M01N12,Traditional offline communication,Traditional Human-central Practice,E,How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities,The introduction states that traditional offline communication is insufficient for increasingly intricate medical issues.,Offline interpersonal communication used by physicians.,"Section 1, PDF page 1"
c211M02N14,Peer emotional support practice,Traditional Human-central Practice,E,How Does Physician Stress Impact Knowledge-Sharing Behaviors?Evidence From Online Physician Communities,"Emotional support manifests as encouragement, empathy, and care functions to mitigate individual stress and its adverse effects",Human-driven support mechanism through peer encouragement and empathy,"Page 5, Section 3.2"
c212M01N12,Practical sessions,Traditional Human-central Practice,E,The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students,The control group completed clinical exercises and scenarios without AI.,Clinical exercises and scenarios conducted without artificial intelligence.,"PDF p. 4, Methods and Materials, Procedure"
c212M01N13,Group discussions,Traditional Human-central Practice,E,The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students,Group discussions were included among the control group's traditional methods.,Human-led group discussion used in traditional instruction.,"PDF p. 4, Methods and Materials, Procedure"
c212M01N14,Case studies,Traditional Human-central Practice,E,The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students,Students discussed clinical cases in groups under instructor guidance to develop moral skills.,Guided group discussion of clinical cases intended to develop moral skills.,"PDF p. 4, Methods and Materials, Procedure"
c212M02N16,Traditional lectures and seminars,Traditional Human-central Practice,E,The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students,"Teaching methods included lectures and seminars (traditional sessions conducted by instructors covering fundamental principles of bioethics and self-efficacy in medical practice), practical sessions (clinical exercises and scenarios without the use of AI), group discussions, and case studies.","Non-digital, instructor-led educational delivery method where students passively receive information through verbal presentation and discussion without AI technology integration.",Page 4
c212M02N18,Practical clinical exercises,Traditional Human-central Practice,E,The Influence Of Education Using Artificial Intelligence Technologies On The Formation Of Moral Behavior And Self-Efficacy In Medical Students,Practical sessions (clinical exercises and scenarios without the use of AI). Clinical exercises conducted without technological augmentation.,"Hands-on clinical training sessions where students practice medical skills in controlled settings without AI or technological support, using traditional methods.",Page 4
c214M01N15,slide-based instruction,Traditional Human-central Practice,E,"Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration",Slide-based instruction was one of the three experimentally compared training modalities.,The conventional non-immersive instructional comparator.,"Sections 5.1–6.1, PDF pages 9–16"
c214M02N20,Classroom lectures for nuclear safety training,Traditional Human-central Practice,E,"Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","Traditional safety training methods, such as classroom lectures, have significant limitations, including limited interactivity, low engagement, and weak motivation among participants",Instructor-led verbal instruction in a classroom setting for nuclear safety,"Section 2.1, Page 2"
c214M02N21,Slide-based instruction for nuclear safety,Traditional Human-central Practice,E,"Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","Slide-based instruction (Group 3, N = 30)",Passive presentation-based instruction method for nuclear safety content,"Section 5.1, Page 9"
c214M02N23,Video watching for nuclear safety compliance,Traditional Human-central Practice,I,"Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","Conventional safety training approaches, such as classroom lectures and video watching, are hindered by limited interactivity, minimal engagement, and insufficient motivation",Passive media consumption for nuclear safety training,"Section 3, Page 4"
c214M02N24,On-site physical training at nuclear facilities,Traditional Human-central Practice,E,"Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","Due to strict confidentiality requirements and annual radiation exposure limits, on-site training opportunities are restricted",Physical practice at operational nuclear facilities,"Section 2.1, Page 2"
c214M02N59,Subjective questionnaire for self-efficacy measurement,Traditional Human-central Practice,E,"Revolutionizing Safety Training: Enhancing Safety Knowledge Acquisition, Retention, And User Experience With Adaptive Vr-Llm Integration","Immediately after the training and assessment phases, participants were asked to complete questionnaires measuring: technology acceptance (based on UTAUT, Venkatesh et al. 2003) and perceived self-efficacy",Paper-based or digital survey instrument used to measure self-efficacy beliefs,"Section 5.2.5, Page 11"
c215M02N17,Full model retraining from scratch,Traditional Human-central Practice,E,Bpbls: A Knowledge-Embedded Bi-Incremental Broad Learning System For Wearable Cuffless Blood Pressure Estimation,Conventional data-driven approaches require complete retraining to incorporate newly emerging features or continuously expanding datasets.,Traditional approach requiring full model retraining when new data or signal modalities arrive.,Page 2
c216M01N33,ReviveXR pre- and post-training paper-and-pencil surveys,Traditional Human-central Practice,E,Usability Of Mixed Reality For Naloxone Training: Iterative Development And Field Testing Of Revivexr,Participants completed quantitative paper-and-pencil surveys.,Non-digital baseline and post-training assessment.,"Sections 2.5-2.6, PDF pages 6-7"
c216M01N34,ReviveXR post-training semi-structured interviews,Traditional Human-central Practice,E,Usability Of Mixed Reality For Naloxone Training: Iterative Development And Field Testing Of Revivexr,Semi-structured interviews collected in-depth qualitative feedback.,Human-led capture of participant experience and suggestions.,"Sections 2.5-2.6, PDF page 7"
c216M02N27,Traditional mannequin‑based CPR/Naloxone training,Traditional Human-central Practice,E,Usability Of Mixed Reality For Naloxone Training: Iterative Development And Field Testing Of Revivexr,ReviveXR demonstrated unique advantages... compared with traditional CPR training with plastic busts.,Non‑digital training using physical mannequins for hands‑on practice.,"Page 12, Section 3.6, Table 5"
c216M02N29,Instructional video training,Traditional Human-central Practice,E,Usability Of Mixed Reality For Naloxone Training: Iterative Development And Field Testing Of Revivexr,Traditional methods... instructional videos,"Passive, non‑interactive video‑based training format.","Page 12, Section 3.6"
c217M01N08,teaching exchanges,Traditional Human-central Practice,E,Knowledge Sharing Behavior Of Nursing Educators: Influence Of Organizational Culture And Technological Environment,Knowledge-sharing frequency included the number of teaching exchanges in which an educator participated.,Human-centered exchanges through which educators participate in knowledge sharing.,"PDF p. 6, Section 2.2"
c217M01N09,team discussions,Traditional Human-central Practice,E,Knowledge Sharing Behavior Of Nursing Educators: Influence Of Organizational Culture And Technological Environment,The participation measure asked whether educators actively shared teaching experience in team discussions.,Human-centered discussions in which educators share teaching experience.,"PDF p. 6, Section 2.2"
c217M01N10,instructional design,Traditional Human-central Practice,E,Knowledge Sharing Behavior Of Nursing Educators: Influence Of Organizational Culture And Technological Environment,"Table 1 reports active participation in instructional design, while the survey measured personal knowledge and experience contributed in teaching design.",Collaborative teaching-design activity involving contributions of personal knowledge and experience.,"PDF pp. 6-7, Section 2.2 and Table 1"
c217M02N09,Nursing KSB Questionnaire Surveys,Traditional Human-central Practice,E,Knowledge Sharing Behavior Of Nursing Educators: Influence Of Organizational Culture And Technological Environment,The study combines quantitative questionnaire surveys and qualitative interviews to test the relevant hypotheses.,Standardized quantitative instrument using Likert five-point scales to measure KSB dimensions.,"ABSTRACT, Page 1"
c217M02N10,Nursing KSB Semi-structured Interviews,Traditional Human-central Practice,E,Knowledge Sharing Behavior Of Nursing Educators: Influence Of Organizational Culture And Technological Environment,Semi-structured interviews were conducted to explore topics such as technological application barriers and organizational cultural cognition in depth.,Qualitative method to explore contextual barriers and cultural perceptions.,Page 3
c217M02N11,Cross-cultural Validation of KSB Model,Traditional Human-central Practice,E,Knowledge Sharing Behavior Of Nursing Educators: Influence Of Organizational Culture And Technological Environment,Cross-cultural validation also involved testing the consistency of organizational culture and technological environment variables across different cultural backgrounds.,Methodological procedure ensuring model applicability across diverse cultural settings.,Page 10
c217M02N12,Thematic Analysis of Nursing Interviews,Traditional Human-central Practice,E,Knowledge Sharing Behavior Of Nursing Educators: Influence Of Organizational Culture And Technological Environment,A thematic analysis approach was used to systematically extract key themes from the interviewees' narratives.,Qualitative analytical technique for coding and categorizing interview narratives.,Page 3
c218M01N18,NOTS 7-day in-person workshop,Traditional Human-central Practice,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,Nine weeks of online learning were followed by a 7-day in-person workshop.,The face-to-face component of the blended NOTS course.,"Journal p. 471; PDF p. 2, Methods—Learning Intervention"
c218M02N31,In-person learning,Traditional Human-central Practice,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,healthcare professionals face geographic and financial barriers to in-person learning,Traditional classroom‑based education delivered at a physical location,Page 1
c218M02N32,Mentorship,Traditional Human-central Practice,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,many online courses face challenges related to...insufficient integration of mentorship,Expert guidance provided through one‑on‑one or small‑group interactions,Page 2
c218M02N33,Traditional knowledge tests,Traditional Human-central Practice,E,Online Outcomes Of A Pediatric Neuro-Oncology Course For Multidisciplinary Healthcare Professionals In Low- And Middle-Income Countries,Previous studies on online pediatric hematology-oncology education have primarily focused on evaluating knowledge scores,Summative written or oral examinations measuring factual recall,Page 1
c219M01N19,traditional instruction,Traditional Human-central Practice,E,Development And Usability Testing Of A Knowledge Graph–Based Digital Teaching Platform In Internal Medicine Nursing (Kg-Dtpnursing): A Cross-Sectional Study,The Discussion contrasts the platform with the temporal and spatial limitations of traditional instruction.,Conventional instruction discussed as the comparison baseline; further process details were not provided.,"PDF p. 8, Discussion §4"
c219M02N21,Textbook learning,Traditional Human-central Practice,E,Development And Usability Testing Of A Knowledge Graph–Based Digital Teaching Platform In Internal Medicine Nursing (Kg-Dtpnursing): A Cross-Sectional Study,We first defined the knowledge system based on standard textbooks and syllabi to ensure alignment with students' core learning objectives,Traditional learning method using standard textbooks,"Page 2, Section 2.1"
c219M02N22,Traditional face-to-face instruction,Traditional Human-central Practice,E,Development And Usability Testing Of A Knowledge Graph–Based Digital Teaching Platform In Internal Medicine Nursing (Kg-Dtpnursing): A Cross-Sectional Study,"It embodies a student-centered approach, overcoming the temporal and spatial limitations of traditional instruction",Face-to-face classroom teaching method,"Page 8, Discussion Section"
c221M01N09,Oral transmission of indigenous medical practices,Traditional Human-central Practice,E,"Wedagpt - Generative-Ai (With Custom-Trained Meta'S Llama2 Llm), Blockchain, Self Sovereign Identity, Nft And Model Card Enabled Indigenous Medicine Platform",Many indigenous medical practices are passed down orally.,Human-to-human oral communication of indigenous medical practices and knowledge.,"Section I, Introduction, page 1"
c221M01N10,Intergenerational transfer of traditional medical knowledge,Traditional Human-central Practice,E,"Wedagpt - Generative-Ai (With Custom-Trained Meta'S Llama2 Llm), Blockchain, Self Sovereign Identity, Nft And Model Card Enabled Indigenous Medicine Platform",Traditional medical knowledge is usually transferred from generation to generation.,Human transfer of traditional medical knowledge between generations.,"Section I, Introduction, page 1"
c221M01N30,LLM response evaluation for palm-manuscript treatments,Traditional Human-central Practice,E,"Wedagpt - Generative-Ai (With Custom-Trained Meta'S Llama2 Llm), Blockchain, Self Sovereign Identity, Nft And Model Card Enabled Indigenous Medicine Platform","In the LLM evaluation, the researchers assessed responses from the LLM for queries concerning treatments documented in the palm manuscripts.",The researchers' human assessment of model-generated answers to treatment queries grounded in the manuscript corpus.,"Section IV, Implementation and Evaluation, page 5"
c221M02N16,Cross-generational oral recipe teaching,Traditional Human-central Practice,E,"Wedagpt - Generative-Ai (With Custom-Trained Meta'S Llama2 Llm), Blockchain, Self Sovereign Identity, Nft And Model Card Enabled Indigenous Medicine Platform","This knowledge, usually transferred from generation to generation, faces the danger of fading away",Non‑digital verbal transmission of recipes and healing methods between generations,Page 1
c221M02N17,Practitioner-patient consultation sessions,Traditional Human-central Practice,E,"Wedagpt - Generative-Ai (With Custom-Trained Meta'S Llama2 Llm), Blockchain, Self Sovereign Identity, Nft And Model Card Enabled Indigenous Medicine Platform",Users can consult remotely with doctors who prescribe treatments through this wallet,Direct healing interactions where practitioners provide consultation and prescriptions,Page 1
c221M02N18,Manual palm manuscript to English conversion,Traditional Human-central Practice,E,"Wedagpt - Generative-Ai (With Custom-Trained Meta'S Llama2 Llm), Blockchain, Self Sovereign Identity, Nft And Model Card Enabled Indigenous Medicine Platform",Translators then convert these texts into English,Human‑driven linguistic translation of ancient palm manuscripts into English,Page 4
c222M01N16,manual osteosarcoma literature retrieval,Traditional Human-central Practice,E,Osteosarcoma Knowledge Graph Question Answering System: Deep Learning-Based Knowledge Graph And Large Language Model Fusion,The platform reduces the time and cost normally associated with literature retrieval.,The conventional human-led activity of finding and reviewing relevant osteosarcoma literature.,"Section 3, PDF page 5"
c222M01N17,osteosarcoma annotation domain-expert review,Traditional Human-central Practice,E,Osteosarcoma Knowledge Graph Question Answering System: Deep Learning-Based Knowledge Graph And Large Language Model Fusion,Domain experts reviewed the annotation process and contributed a unified specification.,Human expert review of osteosarcoma annotation and interpretation rules.,"Section 2.3, PDF page 3"
c224M01N12,face-to-face training,Traditional Human-central Practice,E,Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study,The paper discusses MOOCs as useful and effective online learning compared with face-to-face training.,Conventional in-person training discussed as a contextual comparator; it was not an experimental arm.,"PDF p. 2, Introduction—Massive Open Online Courses"
c224M02N08,Face-to-Face Continuing Education Programs,Traditional Human-central Practice,I,Effectiveness Of M-Learning In Enhancing Knowledge Retention For Nurses' Lifelong Learning: Quasi-Experimental Study,e-learning... often complement traditional teaching models.,"Conventional in-person, didactic training methods requiring physical attendance and fixed schedules.",Background section
c225M02N18,Face-to-face discussion-based tabletop exercise (TTX) for disaster preparedness,Traditional Human-central Practice,E,Augmented Reality In Tabletop Exercises As An Approach To Sustainable Disaster Preparedness Training: A Pilot Study,"""A tabletop exercise (TTX) is a discussion-based approach to disaster training that requires participants to gather in a classroom or small group setting and is carried out face-to-face""","Discussion-based, face-to-face disaster training",Page 1
c227M01N15,manual extraction and reporting of wait time information,Traditional Human-central Practice,E,Ignoring And Collective Passivity In Relation To Information Systems: How Actors Avoided Engagement With Data About Wait Times In Swedish Healthcare,"In the pre-Registry situation, wait-time information was manually extracted and reported to contractors.",Human-driven extraction and periodic reporting of wait-time information before Registry implementation.,"p. 5, Section 4.1"
c227M02N20,Contract administrator compliance interventions,Traditional Human-central Practice,E,Ignoring And Collective Passivity In Relation To Information Systems: How Actors Avoided Engagement With Data About Wait Times In Swedish Healthcare,Contract administrators employed at the Region were to notice divergences and enforce compliance among care-providing organizations.,Regional staff actions to enforce compliance,Page 5
c227M02N21,Local administrative shortcut practices,Traditional Human-central Practice,E,Ignoring And Collective Passivity In Relation To Information Systems: How Actors Avoided Engagement With Data About Wait Times In Swedish Healthcare,"Rather than trying to explore and communicate this systemic problem further, the respondents would use a local, administrative shortcut.",Manual workarounds developed to address Registry issues,Page 13
c227M02N22,Cross-provider referral meetings,Traditional Human-central Practice,E,Ignoring And Collective Passivity In Relation To Information Systems: How Actors Avoided Engagement With Data About Wait Times In Swedish Healthcare,"I have contacted... [them] for referral meetings regarding hand surgery, at the hand surgery clinic.",Meetings between care providers to discuss referrals and wait times,Page 13
