ID,Object,Question,Answer,Evidence
c002DS01Q01,Tacit knowledge,Which tacit knowledge is described?,"Traditional craftsmanship skills, historical knowledge and cognition of wartime life, traditional wooden construction craftsmanship, rammed earth technology skills, and wartime life experiential knowledge are described.","[('The craftsmanship process such as wooden construction and rammed earth technology are recorded in sequence.', 'E', 'Page 2, Section 2.1.3', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings', 'Traditional craftsmanship skills', 'Specific uncodified construction know-how possessed by historical craftsmen.', 'Tacit Knowledge', 'c002M01N01'), ('The dynamic narrative technology triggered events by timelines... which improved the understanding of history by more than 50%.', 'E', 'Page 6, Section 3.3', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings', 'Historical knowledge and cognition of wartime life', 'The mental understanding and retention of historical facts absorbed by visitors.', 'Tacit Knowledge', 'c002M01N05'), ('craftsmanship process such as wooden construction ... are recorded in sequence', 'E', 'Section 2.1.3', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings', 'Traditional wooden construction craftsmanship', 'Uncodified skill of building wooden structures in traditional dwellings', 'Tacit Knowledge', 'c002M02N06'), ('craftsmanship process such as ... rammed earth technology are recorded in sequence', 'E', 'Section 2.1.3', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings', 'Rammed earth technology skills', 'Uncodified skill of constructing rammed earth walls', 'Tacit Knowledge', 'c002M02N07'), ('most cases only use static pictures ... instead of scenically reproduce the noise of a group refuge and kerosene lamp lighting', 'I', 'Section 2.4.2', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings', 'Wartime life experiential knowledge', 'Tacit knowledge of lived wartime experiences (sounds, smells, lighting)', 'Tacit Knowledge', 'c002M02N08')]"
c002DS01Q02,Knowledge Holder,Which knowledge holders are described?,"Traditional Artisans, Visitors, Indigenous people of Shanchengxiang","[('Traditional Artisans', 'is a', 'knowledge holder'), ('Visitors', 'is a', 'knowledge holder'), ('Indigenous people of Shanchengxiang', 'is a', 'knowledge holder')]"
c002DS01Q03,Traditional Human-centred Practices,Which traditional human-centred practices are described?,"Paper-based Surveying, Total Station Surveying, Traditional exhibition methods / physical display, Static photographic exhibition","[Paper-based Surveying, is, Legacy non-digital physical drafting approach, Total Station Surveying, is, Legacy electronic but human-driven distance measurement method, Traditional exhibition methods / physical display, is, Static, physical display workflows utilizing text and pictures, Static photographic exhibition, is, Display of still images without interactive or sensory elements]"
c002DS01Q04,Technology-enabled Practice,Which technology‑enabled practices have been described?,"Multimodal interaction testing, graded protection framework, 3D laser scanning, drone oblique photography, interactive knowledge graph, VR exhibition hall/metaverse scenario, AR scene overlay/guided tour, 3D laser scanning data acquisition, digital twin platform, dynamic narrative system.","[Multimodal interaction testing (eye tracking + EEG), Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, Tobii Pro eye tracker and Emotiv EEG device, the distribution of visitor's attention and the emotion of visitors in VR scenario are quantified], [Graded protection framework, Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, graded protection framework is proposed based on Technical Standards for Historical Building Digitization (2021)], [3D Laser Scanning (FARO Focus S350 / Leica RTC360), Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, FARO Focus S350 realizes millimeter-level point cloud modeling... average error margin <0.5%.], [Drone Oblique Photography, Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, Drone Oblique Photography Images acquired from the air with 50-150m height cover multi-angle views.], [Interactive Knowledge Graph, Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, Then, an interactive knowledge graph is constructed to digitalize the recording of craftsmanship process.], [VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai), Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, Based on the NetEase Yaotai architecture, a co-creation module of 'Red Journey' is constructed.], [AR Scene Overlay / Guided Tour (Unity3D), Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, A digital twin system realizes the real-time monitoring of visitors and AR virtual tour.], [3D laser scanning data acquisition, Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, 3D laser scanning ... realizes millimeter-level point cloud modeling], [Digital twin platform (Unity3D), Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, digital twin system realizes the real-time monitoring of visitors and AR virtual tour], [Dynamic narrative system, Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings, dynamic narrative system reconstructs historical scene such as bombing scene with temporal-space information]"
c002DS01Q05,Digital Technology,which emerging technologies have been described?,"3D Laser Scanning Technology, Unity3D Engine, NetEase Yaotai Architecture, FARO Focus S350 laser scanner, Tobii Pro eye tracker, Emotiv EEG device","[('3D Laser Scanning Technology', 'case_title', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings'), ('Unity3D Engine', 'case_title', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings'), ('NetEase Yaotai Architecture', 'case_title', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings'), ('FARO Focus S350 laser scanner', 'case_title', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings'), ('Tobii Pro eye tracker', 'case_title', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings'), ('Emotiv EEG device', 'case_title', 'Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings')]"
c002DS01Q06,Organizational Dependency,Which internal prerequisites are stated as necessary for technology-enable practices?,Not Mentioned,"[('graded protection framework', 'is proposed based on', 'Technical Standards for Historical Building Digitization (2021)'), ('3D laser scanning', 'realizes', 'millimeter-level point cloud modeling'), ('dynamic narrative system', 'reconstructs', 'historical scene such as bombing scene with temporal-space information'), ('FARO Focus S350', 'realizes', 'millimeter-level point cloud modeling... average error margin <0.5%.'), ('3D laser scanning data acquisition', 'realizes', 'millimeter-level point cloud modeling')]"
c002DS01Q07,Environment Dependency,Which external factors affect the implementation of technology-enable practices?,Rural internet infrastructure affects the implementation of technology-enable practices.,"[('3D laser scanning data acquisition', 'realizes', 'millimeter-level point cloud modeling'), ('Technical Standards for Historical Building Digitization (2021)', 'is proposed based on', 'Technical Standards for Historical Building Digitization (2021)'), ('Rural internet infrastructure', 'has', 'point cloud data transmission failure rate as high as 18.7% in rural areas vs 2.3% in urban cores')]"
c002DS01Q08,Limitation,Which limitations are been described,"The limitations described include low data interoperability, fragmented user experience, living heritage transmission crisis, high modeling cost, rural data transmission failure, fragmented scenarios, excessive commercialization, and lack of multi-sensory feedback.","[data interoperability rate is below 30%], [visitors need to wait for an average of 2.7 seconds ... only 5% of venues provide haptic devices], [return rate of indigenous people is generally below 30% and intangible cultural heritage skills are at risk of interruption], [cost of modeling per building is 3-5 times higher than traditional methods.], [county-level projects is restricted to LOD200 models... data interoperability rate is below 30%.], [85% of digital exhibitions only passively show building exterior... but lack recreation of wartime life.], [excessive commercial operation would decrease the number of EEG positive signals by 40%.], [visitors are unable to feel shockwaves or scorched earth smells at Bombing site.]"
c002DS01Q09,be_held_by,Which tacit knowledge knowledge holders hold?,Traditional Artisans and Indigenous people of Shanchengxiang hold tacit knowledge.,[Bulgaria's digital authorization system for intangible cultural heritage (ICH) skills raised traditional artisans income by 40%.] [The craftsmanship process such as wooden construction and rammed earth technology are recorded in sequence.] [Digital technology can improve visitors' immersion in virtual experience (the VR stay rate has been increased by 40%).] [The dynamic narrative technology triggered events by timelines... which improved the understanding of history by more than 50%.] [Bulgaria's digital authorization system for intangible cultural heritage (ICH) skills raised traditional artisans income by 40%.] [craftsmanship process such as wooden construction ... are recorded in sequence] [Bulgaria's digital authorization system for intangible cultural heritage (ICH) skills raised traditional artisans income by 40%.] [craftsmanship process such as ... rammed earth technology are recorded in sequence] [return rate of indigenous people is generally below 30%] [most cases only use static pictures ... instead of scenically reproduce the noise of a group refuge and kerosene lamp lighting]
c002DS01Q10,be_absorbed_by,which tacit knowledge knowledge holders absorb?,Historical knowledge and cognition of wartime life,"[('The dynamic narrative technology triggered events by timelines... which improved the understanding of history by more than 50%.', 'Historical knowledge and cognition of wartime life', 'The mental understanding and retention of historical facts absorbed by visitors.'), ('Digital technology can improve visitors\' immersion in virtual experience (the VR stay rate has been increased by 40%).', 'Visitors', 'The consumers or individuals absorbing the preserved historical knowledge.')]"
